<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IranAntibiotic.MFG,20240505,23500.00,23500.00,22750.00,23050.00,33462799000,1452690,1795,D,23250.00,23000.00
IranAntibiotic.MFG,20240501,23100.00,23600.00,22950.00,23250.00,16523730050,711351,1519,D,23050.00,23550.00
IranAntibiotic.MFG,20240430,23300.00,23400.00,22900.00,23050.00,20969747250,909963,1539,D,23350.00,23100.00
IranAntibiotic.MFG,20240429,23600.00,23800.00,23200.00,23350.00,28360543700,1213572,1649,D,23550.00,23250.00
IranAntibiotic.MFG,20240428,23550.00,23750.00,23350.00,23550.00,23684818550,1006148,1628,D,23700.00,23450.00
IranAntibiotic.MFG,20240427,23700.00,23900.00,23600.00,23700.00,22115724400,932286,1944,D,23700.00,23650.00
IranAntibiotic.MFG,20240424,23750.00,24000.00,23550.00,23700.00,38250438450,1613307,2577,D,23850.00,23650.00
IranAntibiotic.MFG,20240423,24000.00,24350.00,23700.00,23850.00,27507745500,1153397,2045,D,23900.00,23800.00
IranAntibiotic.MFG,20240422,23550.00,24000.00,23400.00,23900.00,29845756800,1248543,2029,D,23800.00,23900.00
IranAntibiotic.MFG,20240421,24300.00,24300.00,23350.00,23800.00,46671100200,1960447,2749,D,23850.00,23650.00
IranAntibiotic.MFG,20240420,23150.00,23950.00,23150.00,23850.00,44446007450,1864289,2383,D,22850.00,23950.00
IranAntibiotic.MFG,20240417,22700.00,22850.00,22700.00,22850.00,21459096250,939593,1572,D,22650.00,22850.00
IranAntibiotic.MFG,20240416,22650.00,22750.00,22650.00,22650.00,31691481500,1398194,1833,D,22850.00,22700.00
IranAntibiotic.MFG,20240415,22700.00,22850.00,22700.00,22850.00,16407514150,718389,1477,D,22650.00,22850.00
IranAntibiotic.MFG,20240414,22650.00,22650.00,22650.00,22650.00,23606917200,1042248,463,D,22850.00,22650.00
IranAntibiotic.MFG,20240413,23600.00,23600.00,22700.00,22850.00,119098041050,5216932,3593,D,23850.00,22700.00
IranAntibiotic.MFG,20240409,24100.00,24100.00,23750.00,23850.00,34571260850,1449375,2738,D,24000.00,23800.00
IranAntibiotic.MFG,20240408,24000.00,24200.00,23850.00,24000.00,41151902050,1716339,3100,D,23800.00,24000.00
IranAntibiotic.MFG,20240407,23350.00,24050.00,23350.00,23800.00,38642300950,1623626,3478,D,23800.00,23900.00
IranAntibiotic.MFG,20240406,24300.00,24550.00,23250.00,23800.00,117633507350,4947416,5853,D,24300.00,23800.00
IranAntibiotic.MFG,20240403,24500.00,24850.00,24100.00,24300.00,52254813000,2149287,6084,D,24650.00,24150.00
IranAntibiotic.MFG,20240402,24900.00,25050.00,24500.00,24650.00,96251865800,3904173,5238,D,25750.00,24600.00
IranAntibiotic.MFG,20240330,25800.00,26300.00,25400.00,25750.00,105166978950,4080394,5338,D,25300.00,25550.00
IranAntibiotic.MFG,20240327,24800.00,25650.00,24500.00,25300.00,171659536950,6788433,7764,D,24450.00,25650.00
IranAntibiotic.MFG,20240326,24750.00,24850.00,24150.00,24450.00,82836532350,3385702,5667,D,24700.00,24800.00
IranAntibiotic.MFG,20240325,24850.00,25150.00,24300.00,24700.00,111421375000,4511932,5917,D,24500.00,24450.00
IranAntibiotic.MFG,20240324,24000.00,24900.00,24000.00,24500.00,75503699800,3079433,5246,D,23900.00,24850.00
IranAntibiotic.MFG,20240318,23900.00,24300.00,23550.00,23900.00,84883511250,3551179,5424,D,23900.00,24000.00
IranAntibiotic.MFG,20240317,24000.00,24350.00,23650.00,23900.00,100672810050,4215139,5966,D,24000.00,23800.00
IranAntibiotic.MFG,20240316,23750.00,24500.00,23700.00,24000.00,61971992600,2581347,6001,D,24000.00,23900.00
IranAntibiotic.MFG,20240313,24200.00,24500.00,23800.00,24000.00,102987699150,4291137,7740,D,24450.00,23850.00
IranAntibiotic.MFG,20240312,23900.00,24950.00,23700.00,24450.00,121519204100,4967704,9283,D,24300.00,24000.00
IranAntibiotic.MFG,20240311,24550.00,25100.00,23800.00,24300.00,129799160250,5341977,11637,D,24250.00,23850.00
IranAntibiotic.MFG,20240310,24250.00,24800.00,23850.00,24250.00,106002076650,4374439,3714,D,25100.00,24250.00
